ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0449,Ciliophora,Spirotrichea,Strombidiidae,Strombidium,rassoulzadegani,ras09,No,No,No,George McManus
MMETSP0451,Dinophyta,Dinophyceae,Oxyrrhinaceae,Oxyrrhis,marina,CCMP1795,Unknown,Unknown,Yes,Senjie Lin
MMETSP0463,Ciliophora,Spirotrichea,Strombidinopsidae,Strombidinopsis,sp,SopsisLIS2011,Unknown,No,No,George McManus
MMETSP0467,Ciliophora,Litostomatea,Mesodiniidae,Mesodinium,pulex,SPMC105,Unknown,No,No,George McManus
MMETSP0472,Ciliophora,Prostomatea,Colepidae,Tiarina,fusus,TfusLIS,No,No,No,George McManus
MMETSP0484,Cryptophyta,Cryptophyceae,Pyrenomonadaceae,Rhodomonas,lens,RHODO,Unknown,No,No,George McManus
MMETSP0491,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,chuii,PLY429,Unknown,No,No,George McManus
MMETSP0503,Dinophyta,Dinophyceae,Heterocapsaceae,Heterocapsa,rotundata,SCCAP K-0483,No,No,No,George McManus
MMETSP0527,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP3,Yes,No,No,Lisa Campbell
MMETSP0528,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP3,Yes,No,No,Lisa Campbell
MMETSP0562,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No,Tatiana Rynearson
MMETSP0563,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No,Tatiana Rynearson
MMETSP0573,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP1,Yes,No,No,Lisa Campbell
MMETSP0574,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP1,Yes,No,No,Lisa Campbell
MMETSP0580,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Dactyliosolen,fragilissimus,,Yes,Yes,No,Robert Olson
MMETSP0595,Haptophyta,Prymnesiophyceae,Isochrysidaceae,Isochrysis,galbana,CCMP1323,Yes,No,No,Susanne Menden-Deuer
MMETSP0603,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No,Tatiana Rynearson
MMETSP0604,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No,Tatiana Rynearson
MMETSP0648,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Yes,No,No,Lisa Campbell
MMETSP0649,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Yes,No,No,Lisa Campbell
MMETSP0689,Dinophyta,Dinophyceae,Gymnodiniaceae,Amphidinium,massartii,CS-259,Yes,No,No,Shauna Murray
MMETSP0696,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0697,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0698,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0699,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0705,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,CCMP134,Yes,No,No,Sarah Smith
MMETSP0706,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,CCMP134,Yes,No,No,Sarah Smith
MMETSP0707,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,CCMP134,Yes,No,No,Sarah Smith
MMETSP0708,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,CCMP134,Yes,No,No,Sarah Smith
MMETSP0713,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,,Yes,Yes,No,Robert Olson
MMETSP0724,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No,Sarah Smith
MMETSP0725,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No,Sarah Smith
MMETSP0726,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No,Sarah Smith
MMETSP0727,Bacillariophyta,Bacillariophyceae,Amphipleuraceae,Amphiprora,sp.,CCMP467,Yes,No,No,Sarah Smith
MMETSP0733,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No,Adrian Marchetti
MMETSP0734,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No,Adrian Marchetti
MMETSP0735,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No,Adrian Marchetti
MMETSP0736,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L26-C5,Yes,No,No,Adrian Marchetti
MMETSP0737,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No,Sarah Smith
MMETSP0738,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No,Sarah Smith
MMETSP0739,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No,Sarah Smith
MMETSP0740,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No,Sarah Smith
MMETSP0744,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No,Sarah Smith
MMETSP0745,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No,Sarah Smith
MMETSP0746,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No,Sarah Smith
MMETSP0747,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Nitzschia,punctata,CCMP561,Yes,No,No,Sarah Smith
MMETSP0751,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No,Sarah Smith
MMETSP0752,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No,Sarah Smith
MMETSP0753,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No,Sarah Smith
MMETSP0754,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No,Sarah Smith
MMETSP0758,Unknown,Unknown,Unknown,Percolomonas,cosmopolitus,AE-1 (ATCC 50343),Unknown,No,No,Alastair Simpson
MMETSP0759,Unknown,Unknown,Unknown,Percolomonas,cosmopolitus,WS,Unknown,No,No,Alastair Simpson
MMETSP0766,Dinophyta,Dinophyceae,Goniodomaceae,Gambierdiscus,australes,CAWD 149,Yes,No,No,Shauna Murray
MMETSP0780,Unknown,Unknown,Unknown,Palpitomonas,bilix,NIES-2562,Unknown,No,No,John Archibald
MMETSP0784,Dinophyta,Dinophyceae,Gymnodiniaceae,Gymnodinium,catenatum,GC744,Yes,No,No,Jeremiah Hackett
MMETSP0785,Ochrophyta,Bolidophyceae,Bolidomonoadaceae,Bolidomonas,pacifica,CCMP 1866,Unknown,No,No,E. Virginia Armbrust
MMETSP0786,Bacillariophyta,Fragilariophyceae,Thalassionemataceae,Thalassionema,frauenfeldii,CCMP 1798,Unknown,No,No,E. Virginia Armbrust
MMETSP0789,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Rhizosolenia,setigera,CCMP 1694,Unknown,Unknown,No,E. Virginia Armbrust
MMETSP0790,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,catenella,OF101,Yes,Unknown,No,Jeremiah Hackett
MMETSP0794,Bacillariophyta,Coscinodiscophyceae,Stephanopyxidacea,Stephanopyxis,turris,CCMP 815,Unknown,No,No,E. Virginia Armbrust
MMETSP0795,Dinophyta,Dinophyceae,Goniodomaceae,Amoebophrya,sp.,Ameob2,Yes,No,No,Jeremiah Hackett
MMETSP0796,Dinophyta,Dinophyceae,Gonyaulacaceae,Pyrodinium,bahamense,pbaha01,Yes,No,No,Jeremiah Hackett
MMETSP0797,Dinophyta,Dinophyceae,Dinophysiaceae,Dinophysis,acuminata,DAEP01,Unknown,No,No,Jeremiah Hackett
MMETSP0798,Ciliophora,Litostomatea,Mesodiniidae,Myrionecta,rubra,CCMP2563,Yes,No,No,Jeremiah Hackett
MMETSP0799,Cryptophyta,Cryptophyceae,Geminigeracea,Geminigera,cryophila,CCMP2564,Yes,No,No,Jeremiah Hackett
MMETSP0800,Bacillariophyta,Bacillariophyceae,Striatellaceae,Striatella,unipunctata,,Unknown,No,No,E. Virginia Armbrust
MMETSP0802,Chlorophyta,Prasinophyceae,Mamiellaceae,Micromonas,sp.,CCMP2099,Unknown,No,No,Alexandra Z. Worden
MMETSP0803,Chlorophyta,Prasinophyceae,Unknown,Crustomastix,stigmata,CCMP3273,Unknown,No,No,Alexandra Z. Worden
MMETSP0804,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,astigmatica,CCMP880,Unknown,Unknown,No,Alexandra Z. Worden
MMETSP0806,Chlorophyta,Prasinophyceae,Pyncnococcaceae,Prasinoderma,coloniale,CCMP1413,Unknown,No,No,Alexandra Z. Worden
MMETSP0807,Chlorophyta,Unknown,Unknown,Picocystis,salinarum,CCMP1897,Unknown,No,No,Alexandra Z. Worden
MMETSP0809,Euglenozoa,Euglenida,Eutreptiaceae,Eutreptiella,cf. gymnastica,CCMP1594,Unknown,No,No,David Caron
MMETSP0810,Euglenozoa,Euglenida,Eutreptiaceae,Eutreptiella,cf. gymnastica,CCMP1594,Unknown,No,No,David Caron
MMETSP0811,Euglenozoa,Euglenida,Eutreptiaceae,Eutreptiella,cf. gymnastica,CCMP1594,Unknown,No,No,David Caron
MMETSP0814,Haptophyta,Prymnesiophyceae,Prymenesiaceae,Prymnesium,parvum,Texoma1,Yes,Yes,No,David Caron
MMETSP0815,Haptophyta,Prymnesiophyceae,Prymenesiaceae,Prymnesium,parvum,Texoma1,Yes,Yes,No,David Caron
MMETSP0816,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,inermis,CCAP1064/1,Yes,No,No,Thomas Mock
MMETSP0817,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,striata,LANL1001,Yes,No,No,Min Park
MMETSP0818,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,striata,LANL1001,Yes,No,No,Min Park
MMETSP0819,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,striata,LANL1001,Yes,No,No,Min Park
MMETSP0820,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,striata,LANL1001,Yes,No,No,Min Park
MMETSP0878,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No,Francois Morel
MMETSP0879,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No,Francois Morel
MMETSP0880,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No,Francois Morel
MMETSP0881,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No,Francois Morel
MMETSP0882,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagococcus,subviridis,CCMP1429,Unknown,No,No,Christopher Gobler
MMETSP0883,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagococcus,subviridis,CCMP1429,Unknown,No,No,Christopher Gobler
MMETSP0884,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagococcus,subviridis,CCMP1429,Unknown,No,No,Christopher Gobler
MMETSP0885,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagococcus,subviridis,CCMP1429,Unknown,No,No,Christopher Gobler
MMETSP0886,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagomonas,calceolata,CCMP1756,Unknown,No,No,Christopher Gobler
MMETSP0887,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagomonas,calceolata,CCMP1756,Unknown,No,No,Christopher Gobler
MMETSP0888,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagomonas,calceolata,CCMP1756,Unknown,No,No,Christopher Gobler
MMETSP0889,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Pelagomonas,calceolata,CCMP1756,Unknown,No,No,Christopher Gobler
MMETSP0890,Ochrophyta,Pelagophyceae,Sarcionochrysidaceae,Aureoumbra,lagunensis,CCMP1509,Yes,Unknown,No,Christopher Gobler
MMETSP0891,Ochrophyta,Pelagophyceae,Sarcionochrysidaceae,Aureoumbra,lagunensis,CCMP1509,Yes,Unknown,No,Christopher Gobler
MMETSP0892,Ochrophyta,Pelagophyceae,Sarcionochrysidaceae,Aureoumbra,lagunensis,CCMP1509,Yes,Unknown,No,Christopher Gobler
MMETSP0893,Ochrophyta,Pelagophyceae,Sarcionochrysidaceae,Aureoumbra,lagunensis,CCMP1509,Yes,Unknown,No,Christopher Gobler
MMETSP0894,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP 452,No,Yes,No,Rose Ann Cattolico
MMETSP0895,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP 452,No,Yes,No,Rose Ann Cattolico
MMETSP0896,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP 452,No,Yes,No,Rose Ann Cattolico
MMETSP0897,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP 452,No,Yes,No,Rose Ann Cattolico
MMETSP0906,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No,Thomas Mock
MMETSP0907,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No,Thomas Mock
MMETSP0908,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No,Thomas Mock
MMETSP0909,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Fragilariopsis,kerguelensis,L2-C3,Yes,Yes,No,Thomas Mock
MMETSP0910,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No,Tatiana Rynearson
MMETSP0911,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No,Tatiana Rynearson
MMETSP0912,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No,Tatiana Rynearson
MMETSP0913,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No,Tatiana Rynearson
MMETSP0914,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Aureococcus,anophagefferens,CCMP1850,Yes,Yes,No,Christopher Gobler
MMETSP0915,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Aureococcus,anophagefferens,CCMP1850,Yes,Yes,No,Christopher Gobler
MMETSP0916,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Aureococcus,anophagefferens,CCMP1850,Yes,Yes,No,Christopher Gobler
MMETSP0917,Ochrophyta,Pelagophyceae,Pelagomonodaceae,Aureococcus,anophagefferens,CCMP1850,Yes,Yes,No,Christopher Gobler
MMETSP0918,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,skelA,Yes,No,No,Tatiana Rynearson
MMETSP0920,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,skelA,Yes,No,No,Tatiana Rynearson
MMETSP0922,Perkinsozoa,Perkinsea,Perkinsidae,Perkinsus,marinus,ATCC 50439,Yes,No,Yes,Senjie Lin
MMETSP0924,Perkinsozoa,Perkinsea,Perkinsidae,Perkinsus,chesapeaki,ATCC PRA-65,Yes,No,Yes,Senjie Lin
MMETSP0926,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,RCC789,Yes,Yes,No,Gwenael Piganeau
MMETSP0927,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC10000,Yes,Yes,No,Gwenael Piganeau
MMETSP0928,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC26000,Yes,Yes,No,Gwenael Piganeau
MMETSP0929,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC35000,Yes,Yes,No,Gwenael Piganeau
MMETSP0930,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC44000,Yes,Yes,No,Gwenael Piganeau
MMETSP0931,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC49000,Yes,Yes,No,Gwenael Piganeau
MMETSP0932,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC98000,Yes,Yes,No,Gwenael Piganeau
MMETSP0933,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC99000,Yes,Yes,No,Gwenael Piganeau
MMETSP0934,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC102000,Yes,Yes,No,Gwenael Piganeau
MMETSP0935,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC103000,Yes,Yes,No,Gwenael Piganeau
MMETSP0936,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC109000,Yes,Yes,No,Gwenael Piganeau
MMETSP0937,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC115000,Yes,Yes,No,Gwenael Piganeau
MMETSP0938,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC116000,Yes,Yes,No,Gwenael Piganeau
MMETSP0939,Chlorophyta,Prasinophyceae,Mamiellaceae,Ostreococcus,mediterraneus,BCC118000,Yes,Yes,No,Gwenael Piganeau
MMETSP0941,Chlorophyta,Prasinophyceae,Pyncnococcaceae,Prasinococcus,capsulatus,CCMP1194,Unknown,No,No,Alexandra Z. Worden
MMETSP0942,Bicosoecida,Bicosoecophyceae,Cafeteriaceae,Cafeteria,roebergensis,E4-10,Yes,No,No,Alastair Simpson
MMETSP0943,Haptophyta,Prymnesiophyceae,Isochrysidaceae,Isochrysis,galbana,CCMP1323,Unknown,Unknown,No,Linda A. Amaral-Zettler
MMETSP0944,Haptophyta,Prymnesiophyceae,Isochrysidaceae,Isochrysis,galbana,CCMP1323,Unknown,Unknown,No,Linda A. Amaral-Zettler
MMETSP0945,Ochrophyta,Xanthophyceae,Vaucheriaceae,Vaucheria,litorea,CCMP2940,No,No,No,Mary Rumpho
MMETSP0946,Ochrophyta,Xanthophyceae,Vaucheriaceae,Vaucheria,litorea,CCMP2940,No,No,No,Mary Rumpho
MMETSP0947,Ochrophyta,Raphidophyceae,Chattonellaceae,Chattonella,subsalsa,CCMP2191,No,No,No,Kathryn Coyne
MMETSP0948,Ochrophyta,Raphidophyceae,Chattonellaceae,Chattonella,subsalsa,CCMP2191,No,No,No,Kathryn Coyne
MMETSP0949,Ochrophyta,Raphidophyceae,Chattonellaceae,Chattonella,subsalsa,CCMP2191,No,No,No,Kathryn Coyne
MMETSP0950,Ochrophyta,Raphidophyceae,Chattonellaceae,Chattonella,subsalsa,CCMP2191,No,No,No,Kathryn Coyne
MMETSP0954,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Aplanochytrium,sp,PBS07,Yes,Yes,No,Jackie Collier
MMETSP0955,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Aplanochytrium,sp,PBS07,Yes,Yes,No,Jackie Collier
MMETSP0956,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Aplanochytrium,sp,PBS07,Yes,Yes,No,Jackie Collier
MMETSP0957,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Aplanochytrium,sp,PBS07,Yes,Yes,No,Jackie Collier
MMETSP0958,Labyrinthista,Labyrinthulea,Thraustochytriidae,Aurantiochytrium,limacinum,ATCCMYA-1381,Yes,Yes,No,Jackie Collier
MMETSP0959,Labyrinthista,Labyrinthulea,Thraustochytriidae,Aurantiochytrium,limacinum,ATCCMYA-1381,Yes,Yes,No,Jackie Collier
MMETSP0960,Labyrinthista,Labyrinthulea,Thraustochytriidae,Aurantiochytrium,limacinum,ATCCMYA-1381,Yes,Yes,No,Jackie Collier
MMETSP0961,Labyrinthista,Labyrinthulea,Thraustochytriidae,Aurantiochytrium,limacinum,ATCCMYA-1381,Yes,Yes,No,Jackie Collier
MMETSP0974,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2097,Unknown,Yes,No,Connie Lovejoy
MMETSP0975,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2097,Unknown,Yes,No,Connie Lovejoy
MMETSP0976,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2097,Unknown,Yes,No,Connie Lovejoy
MMETSP0977,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2097,Unknown,Yes,No,Connie Lovejoy
MMETSP0982,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP 2436,Unknown,Yes,No,Connie Lovejoy
MMETSP0983,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP 2436,Unknown,Yes,No,Connie Lovejoy
MMETSP0984,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP 2436,Unknown,Yes,No,Connie Lovejoy
MMETSP0985,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP 2436,Unknown,Yes,No,Connie Lovejoy
MMETSP0986,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2293,Unknown,Yes,No,Connie Lovejoy
MMETSP0987,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2293,Unknown,Yes,No,Connie Lovejoy
MMETSP0988,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2293,Unknown,Yes,No,Connie Lovejoy
MMETSP0989,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2293,Unknown,Yes,No,Connie Lovejoy
MMETSP0990,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2098,Unknown,Yes,No,Connie Lovejoy
MMETSP0991,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2098,Unknown,Yes,No,Connie Lovejoy
MMETSP0992,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2098,Unknown,Yes,No,Connie Lovejoy
MMETSP0993,Unknown,Unknown,Unknown,Undescribed,Undescribed,CCMP2098,Unknown,Yes,No,Connie Lovejoy
MMETSP0994,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,379,Unknown,No,No,Kay Bidle
MMETSP0995,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,379,Unknown,No,No,Kay Bidle
MMETSP0996,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,379,Unknown,No,No,Kay Bidle
MMETSP0997,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,379,Unknown,No,No,Kay Bidle
MMETSP0998,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,GSO105,Yes,Yes,No,Tatiana Rynearson
MMETSP1001,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,GSO105,Yes,Yes,No,Tatiana Rynearson
MMETSP1006,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,374,Unknown,No,No,Kay Bidle
MMETSP1007,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,374,Unknown,No,No,Kay Bidle
MMETSP1008,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,374,Unknown,No,No,Kay Bidle
MMETSP1009,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae,Emiliania,huxleyi,374,Unknown,No,No,Kay Bidle
MMETSP1015,Dinophyta,Dinophyceae,Gymnodiniaceae,Karlodinium,micrum,CCMP2283,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP1016,Dinophyta,Dinophyceae,Gymnodiniaceae,Karlodinium,micrum,CCMP2283,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP1017,Dinophyta,Dinophyceae,Gymnodiniaceae,Karlodinium,micrum,CCMP2283,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
